step,timestamp,phase,cpu_freq_mhz,cpu_temp_c,ops_executed,avg_total_W,avg_core_W,energy_step_J,drain_A,battery_pct
44,2026-02-18T00:00:44,idle,1502.2326558801497,42.0,0,3.6442,1.6399,3.6442,0.32831,0.0
45,2026-02-18T00:00:45,idle,1499.507572577453,42.0,0,3.6996,1.6648,3.6996,0.3333,0.0
46,2026-02-18T00:00:46,idle,1499.601408945468,42.0,0,3.373,1.5179,3.373,0.30387,0.0
47,2026-02-18T00:00:47,idle,1492.7644376378846,42.0,0,3.15,1.4175,3.15,0.28378,0.0
48,2026-02-18T00:00:48,idle,1495.0137658619926,42.0,0,3.15,1.4175,3.15,0.28378,0.0
49,2026-02-18T00:00:49,idle,1495.4726047231998,42.0,0,3.6199,1.629,3.6199,0.32612,0.0
50,2026-02-18T00:00:50,partial,1506.4961414889303,42.0,18000000000,5.8866,2.6489,5.8866,0.53032,0.0
51,2026-02-18T00:00:51,partial,1503.6875778423355,42.1,18000000000,5.8931,2.6519,5.8931,0.53091,0.0
52,2026-02-18T00:00:52,partial,1498.972812210662,42.1,18000000000,5.7199,2.574,5.7199,0.51531,0.0
53,2026-02-18T00:00:53,partial,1498.304834620497,42.2,18000000000,5.715,2.5717,5.715,0.51486,0.0
54,2026-02-18T00:00:54,partial,1491.3633978840382,42.2,18000000000,6.2521,2.8134,6.2521,0.56325,0.0
55,2026-02-18T00:00:55,partial,1501.1886780116613,42.2,18000000000,6.1303,2.7586,6.1303,0.55228,0.0
56,2026-02-18T00:00:56,partial,1492.7697107280578,42.3,18000000000,5.8218,2.6198,5.8218,0.52448,0.0
57,2026-02-18T00:00:57,partial,1497.352536454681,42.3,18000000000,6.0216,2.7097,6.0216,0.54249,0.0
58,2026-02-18T00:00:58,partial,1500.1092607276173,42.3,18000000000,6.0698,2.7314,6.0698,0.54683,0.0
59,2026-02-18T00:00:59,partial,1498.803221862635,42.4,18000000000,6.4805,2.9162,6.4805,0.58383,0.0
60,2026-02-18T00:00:60,partial,1500.8963781747816,42.4,18000000000,5.693,2.5618,5.693,0.51288,0.0
61,2026-02-18T00:00:61,partial,1506.7959378762023,42.4,18000000000,6.066,2.7297,6.066,0.54649,0.0
62,2026-02-18T00:00:62,partial,1501.7843552957474,42.4,18000000000,6.2505,2.8127,6.2505,0.56311,0.0
63,2026-02-18T00:00:63,partial,1494.0561847283857,42.5,18000000000,6.439,2.8975,6.439,0.58009,0.0
64,2026-02-18T00:00:64,partial,1495.3671202929725,42.5,18000000000,5.8081,2.6136,5.8081,0.52325,0.0
65,2026-02-18T00:00:65,partial,1493.1165692622185,42.5,18000000000,5.8831,2.6474,5.8831,0.53001,0.0
66,2026-02-18T00:00:66,partial,1498.888886514506,42.5,18000000000,6.1905,2.7857,6.1905,0.55771,0.0
67,2026-02-18T00:00:67,partial,1494.9221045939623,42.6,18000000000,5.5588,2.5014,5.5588,0.50079,0.0
68,2026-02-18T00:00:68,partial,1504.1906328394718,42.6,18000000000,6.0941,2.7423,6.0941,0.54901,0.0
69,2026-02-18T00:00:69,partial,1514.5693123300366,42.6,18000000000,6.599,2.9696,6.599,0.59451,0.0
70,2026-02-18T00:00:70,partial,1495.0523093998406,42.6,18000000000,6.1243,2.7559,6.1243,0.55174,0.0
71,2026-02-18T00:00:71,partial,1501.3385573117191,42.7,18000000000,5.3604,2.4122,5.3604,0.48292,0.0
72,2026-02-18T00:00:72,partial,1497.9232136991016,42.7,18000000000,5.7561,2.5903,5.7561,0.51857,0.0
73,2026-02-18T00:00:73,partial,1499.296045567918,42.7,18000000000,5.8164,2.6174,5.8164,0.524,0.0
74,2026-02-18T00:00:74,partial,1500.7852428372266,42.7,18000000000,6.3198,2.8439,6.3198,0.56935,0.0
75,2026-02-18T00:00:75,partial,1494.8217312358709,42.7,18000000000,5.9524,2.6786,5.9524,0.53625,0.0
76,2026-02-18T00:00:76,partial,1497.5684604546334,42.7,18000000000,5.4976,2.4739,5.4976,0.49528,0.0
77,2026-02-18T00:00:77,partial,1508.8396495678994,42.8,18000000000,5.9839,2.6927,5.9839,0.53909,0.0
78,2026-02-18T00:00:78,partial,1504.9136975551153,42.8,18000000000,6.0391,2.7176,6.0391,0.54406,0.0
79,2026-02-18T00:00:79,partial,1494.075281167915,42.8,18000000000,5.8502,2.6326,5.8502,0.52705,0.0
80,2026-02-18T00:00:80,partial,1496.3738696773212,42.8,18000000000,5.7105,2.5697,5.7105,0.51446,0.0
81,2026-02-18T00:00:81,partial,1495.893066603878,42.8,18000000000,6.6385,2.9873,6.6385,0.59807,0.0
82,2026-02-18T00:00:82,partial,1495.485364109565,42.8,18000000000,6.2515,2.8132,6.2515,0.5632,0.0
83,2026-02-18T00:00:83,partial,1501.9247548305293,42.9,18000000000,6.2795,2.8258,6.2795,0.56572,0.0
84,2026-02-18T00:00:84,partial,1499.7961873693228,42.9,18000000000,5.953,2.6789,5.953,0.53631,0.0
85,2026-02-18T00:00:85,partial,1502.2303610074105,42.9,18000000000,5.8036,2.6116,5.8036,0.52284,0.0
86,2026-02-18T00:00:86,partial,1493.8719711811639,42.9,18000000000,5.8635,2.6386,5.8635,0.52824,0.0
87,2026-02-18T00:00:87,partial,1500.8629395886105,42.9,18000000000,5.6166,2.5275,5.6166,0.506,0.0
88,2026-02-18T00:00:88,partial,1500.7999580678672,42.9,18000000000,6.4737,2.9132,6.4737,0.58322,0.0
89,2026-02-18T00:00:89,partial,1501.4291306980126,42.9,18000000000,5.9644,2.684,5.9644,0.53733,0.0
90,2026-02-18T00:00:90,partial,1501.0969125068193,43.0,18000000000,6.3918,2.8763,6.3918,0.57584,0.0
91,2026-02-18T00:00:91,partial,1505.5314435502994,43.0,18000000000,5.8767,2.6445,5.8767,0.52943,0.0
92,2026-02-18T00:00:92,partial,1507.67877995998,43.0,18000000000,6.1286,2.7579,6.1286,0.55213,0.0
93,2026-02-18T00:00:93,partial,1493.8776548413975,43.0,18000000000,6.055,2.7247,6.055,0.54549,0.0
94,2026-02-18T00:00:94,partial,1508.2546396611563,43.0,18000000000,5.5896,2.5153,5.5896,0.50356,0.0
95,2026-02-18T00:00:95,partial,1499.102403933587,43.0,18000000000,6.5171,2.9327,6.5171,0.58713,0.0
96,2026-02-18T00:00:96,partial,1507.307221461211,43.0,18000000000,5.885,2.6483,5.885,0.53018,0.0
97,2026-02-18T00:00:97,partial,1495.5263649052208,43.0,18000000000,5.6679,2.5505,5.6679,0.51062,0.0
98,2026-02-18T00:00:98,partial,1498.026974385702,43.0,18000000000,6.193,2.7868,6.193,0.55793,0.0
99,2026-02-18T00:00:99,partial,1499.1827855073775,43.0,18000000000,5.9985,2.6993,5.9985,0.5404,0.0
100,2026-02-18T00:00:100,full,1507.0374093065686,43.1,36000000000,8.6013,3.8706,8.6013,0.77489,0.0
101,2026-02-18T00:00:101,full,1503.2196939663843,43.1,36000000000,8.5272,3.8372,8.5272,0.76821,0.0
102,2026-02-18T00:00:102,full,1499.7564079903493,43.2,36000000000,7.8849,3.5482,7.8849,0.71036,0.0
103,2026-02-18T00:00:103,full,1493.9059346978818,43.2,36000000000,8.247,3.7112,8.247,0.74298,0.0
104,2026-02-18T00:00:104,full,1498.329382796496,43.3,36000000000,8.2366,3.7064,8.2366,0.74203,0.0
105,2026-02-18T00:00:105,full,1493.3680364113022,43.3,36000000000,8.7748,3.9486,8.7748,0.79052,0.0
106,2026-02-18T00:00:106,full,1497.579152833332,43.4,36000000000,8.5092,3.8291,8.5092,0.76659,0.0
107,2026-02-18T00:00:107,full,1505.013789126523,43.4,36000000000,8.4017,3.7808,8.4017,0.75691,0.0
108,2026-02-18T00:00:108,full,1506.6869905372137,43.4,36000000000,8.6614,3.8976,8.6614,0.78031,0.0
109,2026-02-18T00:00:109,full,1496.5202869416464,43.5,36000000000,8.4536,3.8041,8.4536,0.76159,0.0
110,2026-02-18T00:00:110,full,1501.2124839563562,43.5,36000000000,8.4328,3.7948,8.4328,0.75972,0.0
111,2026-02-18T00:00:111,full,1494.578059638833,43.5,36000000000,8.553,3.8488,8.553,0.77054,0.0
112,2026-02-18T00:00:112,full,1501.1411416506946,43.6,36000000000,8.5271,3.8372,8.5271,0.76821,0.0
113,2026-02-18T00:00:113,full,1509.3842230564082,43.6,36000000000,9.2552,4.1649,9.2552,0.83381,0.0
114,2026-02-18T00:00:114,full,1498.5630831922542,43.6,36000000000,8.244,3.7098,8.244,0.74271,0.0
115,2026-02-18T00:00:115,full,1497.0464649301825,43.7,36000000000,8.061,3.6274,8.061,0.72621,0.0
116,2026-02-18T00:00:116,full,1506.0292681044411,43.7,36000000000,8.5947,3.8676,8.5947,0.7743,0.0
117,2026-02-18T00:00:117,full,1496.729267799661,43.7,36000000000,8.2813,3.7266,8.2813,0.74606,0.0
118,2026-02-18T00:00:118,full,1499.1866703972755,43.8,36000000000,7.8558,3.5351,7.8558,0.70773,0.0
119,2026-02-18T00:00:119,full,1497.3528028631697,43.8,36000000000,8.1813,3.6816,8.1813,0.73705,0.0
120,2026-02-18T00:00:120,full,1499.5286872287372,43.8,36000000000,8.2369,3.7066,8.2369,0.74207,0.0
121,2026-02-18T00:00:121,full,1492.664773773045,43.8,36000000000,7.9727,3.5877,7.9727,0.71826,0.0
122,2026-02-18T00:00:122,full,1493.5628870936298,43.9,36000000000,9.1388,4.1124,9.1388,0.82331,0.0
123,2026-02-18T00:00:123,full,1509.1845676416065,43.9,36000000000,8.171,3.6769,8.171,0.73612,0.0
124,2026-02-18T00:00:124,full,1494.1421668558733,43.9,36000000000,9.3715,4.2172,9.3715,0.84428,0.0
125,2026-02-18T00:00:125,full,1501.7077777547026,43.9,36000000000,8.3895,3.7753,8.3895,0.75581,0.0
126,2026-02-18T00:00:126,full,1495.0657146078588,44.0,36000000000,9.0186,4.0584,9.0186,0.81249,0.0
127,2026-02-18T00:00:127,full,1503.8866878803087,44.0,36000000000,8.4264,3.7919,8.4264,0.75914,0.0
128,2026-02-18T00:00:128,full,1498.1192196438494,44.0,36000000000,8.6304,3.8837,8.6304,0.77752,0.0
129,2026-02-18T00:00:129,full,1493.12552095815,44.0,36000000000,8.4599,3.8069,8.4599,0.76215,0.0
130,2026-02-18T00:00:130,full,1498.6680625499553,44.0,36000000000,8.4285,3.7928,8.4285,0.75933,0.0
131,2026-02-18T00:00:131,full,1497.223363905905,44.1,36000000000,8.5697,3.8563,8.5697,0.77204,0.0
132,2026-02-18T00:00:132,full,1505.0635790890992,44.1,36000000000,8.6415,3.8887,8.6415,0.77851,0.0
133,2026-02-18T00:00:133,full,1501.758782041996,44.1,36000000000,8.5466,3.846,8.5466,0.76997,0.0
134,2026-02-18T00:00:134,full,1500.000421965457,44.1,36000000000,8.5159,3.8322,8.5159,0.7672,0.0
135,2026-02-18T00:00:135,full,1501.5824713083666,44.1,36000000000,8.2835,3.7276,8.2835,0.74626,0.0
136,2026-02-18T00:00:136,full,1510.465841544653,44.1,36000000000,8.4708,3.8119,8.4708,0.76314,0.0
137,2026-02-18T00:00:137,full,1501.9292327627825,44.2,36000000000,8.972,4.0374,8.972,0.80829,0.0
138,2026-02-18T00:00:138,full,1494.4379426400828,44.2,36000000000,8.2711,3.722,8.2711,0.74514,0.0
139,2026-02-18T00:00:139,full,1501.3137461257356,44.2,36000000000,8.8573,3.9858,8.8573,0.79796,0.0
140,2026-02-18T00:00:140,full,1491.277070065129,44.2,36000000000,8.644,3.8898,8.644,0.77874,0.0
141,2026-02-18T00:00:141,full,1502.2721016910718,44.2,36000000000,8.7782,3.9502,8.7782,0.79083,0.0
142,2026-02-18T00:00:142,full,1497.6423759627503,44.2,36000000000,8.1669,3.6751,8.1669,0.73575,0.0
143,2026-02-18T00:00:143,full,1500.2623339917811,44.2,36000000000,8.5791,3.8606,8.5791,0.77289,0.0
144,2026-02-18T00:00:144,full,1499.4825586596703,44.3,36000000000,8.4123,3.7856,8.4123,0.75787,0.0
145,2026-02-18T00:00:145,full,1500.7628125605124,44.3,36000000000,8.4244,3.791,8.4244,0.75896,0.0
146,2026-02-18T00:00:146,full,1487.1667077953434,44.3,36000000000,8.9414,4.0237,8.9414,0.80554,0.0
147,2026-02-18T00:00:147,full,1500.8825621068622,44.3,36000000000,8.4289,3.793,8.4289,0.75936,0.0
148,2026-02-18T00:00:148,full,1498.1404270933936,44.3,36000000000,8.5888,3.865,8.5888,0.77377,0.0
149,2026-02-18T00:00:149,full,1501.6399774185707,44.3,36000000000,7.973,3.5878,7.973,0.71829,0.0
150,2026-02-18T00:00:150,return,1492.3306929754194,44.3,18000000000,6.5182,2.9332,6.5182,0.58723,0.0
151,2026-02-18T00:00:151,return,1498.3573738843854,44.3,18000000000,6.2591,2.8166,6.2591,0.56389,0.0
152,2026-02-18T00:00:152,return,1494.7355074464801,44.2,18000000000,5.9816,2.6917,5.9816,0.53888,0.0
153,2026-02-18T00:00:153,return,1506.5002229734948,44.2,18000000000,5.8997,2.6548,5.8997,0.5315,0.0
154,2026-02-18T00:00:154,return,1508.6615580270498,44.2,18000000000,6.1748,2.7787,6.1748,0.55629,0.0
155,2026-02-18T00:00:155,return,1502.1954333946478,44.1,18000000000,6.3532,2.859,6.3532,0.57236,0.0
156,2026-02-18T00:00:156,return,1502.1949657936914,44.1,18000000000,6.5232,2.9354,6.5232,0.58767,0.0
157,2026-02-18T00:00:157,return,1498.5171452323264,44.1,18000000000,6.2484,2.8118,6.2484,0.56292,0.0
158,2026-02-18T00:00:158,return,1496.5128808834986,44.1,18000000000,6.02,2.709,6.02,0.54234,0.0
159,2026-02-18T00:00:159,return,1494.1084818844256,44.1,18000000000,6.2969,2.8336,6.2969,0.56729,0.0
160,2026-02-18T00:00:160,return,1499.0467447124743,44.0,18000000000,6.2347,2.8056,6.2347,0.56169,0.0
161,2026-02-18T00:00:161,return,1503.7543449436564,44.0,18000000000,6.3514,2.8581,6.3514,0.5722,0.0
162,2026-02-18T00:00:162,return,1503.6538734556932,44.0,18000000000,6.5462,2.9458,6.5462,0.58975,0.0
163,2026-02-18T00:00:163,return,1499.665234135509,44.0,18000000000,5.5284,2.4878,5.5284,0.49805,0.0
164,2026-02-18T00:00:164,return,1497.4086007881685,44.0,18000000000,5.6484,2.5418,5.6484,0.50886,0.0
165,2026-02-18T00:00:165,return,1503.1876690544884,43.9,18000000000,6.4534,2.904,6.4534,0.58138,0.0
166,2026-02-18T00:00:166,return,1494.931413167798,43.9,18000000000,5.7903,2.6056,5.7903,0.52165,0.0
167,2026-02-18T00:00:167,return,1493.9171992530944,43.9,18000000000,6.0098,2.7044,6.0098,0.54143,0.0
168,2026-02-18T00:00:168,return,1501.5600473577563,43.9,18000000000,5.7987,2.6094,5.7987,0.5224,0.0
169,2026-02-18T00:00:169,return,1503.0438073611222,43.9,18000000000,6.3466,2.856,6.3466,0.57177,0.0
170,2026-02-18T00:00:170,return,1501.5218336451512,43.8,18000000000,5.3126,2.3907,5.3126,0.47861,0.0
171,2026-02-18T00:00:171,return,1502.0694514268635,43.8,18000000000,6.0216,2.7097,6.0216,0.54249,0.0
172,2026-02-18T00:00:172,return,1489.6838086159762,43.8,18000000000,6.4849,2.9182,6.4849,0.58422,0.0
173,2026-02-18T00:00:173,return,1502.9545316139668,43.8,18000000000,5.8227,2.6202,5.8227,0.52456,0.0
174,2026-02-18T00:00:174,return,1507.3797452402675,43.8,18000000000,5.5255,2.4865,5.5255,0.49779,0.0
175,2026-02-18T00:00:175,return,1504.2329199292171,43.8,18000000000,6.1105,2.7497,6.1105,0.5505,0.0
176,2026-02-18T00:00:176,return,1504.068818449831,43.8,18000000000,5.8287,2.6229,5.8287,0.52511,0.0
177,2026-02-18T00:00:177,return,1501.1643901006858,43.8,18000000000,6.3205,2.8442,6.3205,0.56942,0.0
178,2026-02-18T00:00:178,return,1501.3517161964087,43.7,18000000000,6.0703,2.7316,6.0703,0.54688,0.0
179,2026-02-18T00:00:179,return,1499.2623565987983,43.7,18000000000,5.741,2.5834,5.741,0.51721,0.0
180,2026-02-18T00:00:180,return,1501.9169693217675,43.7,18000000000,5.9542,2.6794,5.9542,0.53642,0.0
181,2026-02-18T00:00:181,return,1494.707319590108,43.7,18000000000,6.2999,2.835,6.2999,0.56756,0.0
182,2026-02-18T00:00:182,return,1507.4072777382949,43.7,18000000000,5.9625,2.6831,5.9625,0.53716,0.0
183,2026-02-18T00:00:183,return,1495.8887499135485,43.7,18000000000,5.7769,2.5996,5.7769,0.52044,0.0
184,2026-02-18T00:00:184,return,1504.2219259524265,43.7,18000000000,6.0607,2.7273,6.0607,0.54601,0.0
185,2026-02-18T00:00:185,return,1506.644802952185,43.7,18000000000,6.0034,2.7015,6.0034,0.54085,0.0
186,2026-02-18T00:00:186,return,1504.2091003344503,43.7,18000000000,6.257,2.8157,6.257,0.5637,0.0
187,2026-02-18T00:00:187,return,1511.6382655017305,43.6,18000000000,6.1662,2.7748,6.1662,0.55552,0.0
188,2026-02-18T00:00:188,return,1489.9823885396675,43.6,18000000000,5.9385,2.6723,5.9385,0.535,0.0
189,2026-02-18T00:00:189,return,1497.7115028452158,43.6,18000000000,6.4813,2.9166,6.4813,0.5839,0.0
190,2026-02-18T00:00:190,return,1506.5477534243025,43.6,18000000000,6.0324,2.7146,6.0324,0.54346,0.0
191,2026-02-18T00:00:191,return,1493.7417639294692,43.6,18000000000,5.5193,2.4837,5.5193,0.49724,0.0
192,2026-02-18T00:00:192,return,1496.0293185498729,43.6,18000000000,5.5196,2.4838,5.5196,0.49726,0.0
193,2026-02-18T00:00:193,return,1502.6209392140638,43.6,18000000000,6.1319,2.7594,6.1319,0.55242,0.0
194,2026-02-18T00:00:194,return,1492.9361705805381,43.6,18000000000,6.0829,2.7373,6.0829,0.54801,0.0
195,2026-02-18T00:00:195,return,1500.271767926952,43.6,18000000000,5.307,2.3881,5.307,0.47811,0.0
196,2026-02-18T00:00:196,return,1502.296928858583,43.6,18000000000,5.8585,2.6363,5.8585,0.52779,0.0
197,2026-02-18T00:00:197,return,1500.6912071602935,43.6,18000000000,6.2106,2.7948,6.2106,0.55951,0.0
198,2026-02-18T00:00:198,return,1501.1460568705754,43.6,18000000000,6.228,2.8026,6.228,0.56108,0.0
199,2026-02-18T00:00:199,return,1496.4766336856505,43.5,18000000000,6.159,2.7716,6.159,0.55487,0.0
